NOM;DCI1
SYNNAX;LAMOTRIGINE
SYNNAX;LAMOTRIGINE
NOZINAN;LEVOMEPROMAZINE
STILNOX CR;ZOLPIDEM
STILNOX CR;ZOLPIDEM
RAZON 40 MG;PANTOPRAZOLE
ORGALUTRAN;GANIRELIX
XALATAN;LATANOPROST
CEFTAJECT I.M 500 MG/2ML;CEFTRIAXONE
CEFTAJECT I.M 500 MG/2ML;CEFTRIAXONE
GLIDIABET;GLIBENCLAMIDE
OSCILLOCCINUM;SOUCHE HOMEOPATHIQUE
THIAZILIX;INDAPAMIDE
BISPIRAZOLE;SPIRAMYCINE / METRONIDAZOLE
LACIPIL;LACIDIPINE
RETROVIR;ZIDOVUDINE
OKA-ETOPOSIDE;ETOPOSIDE
ORADEXON;DEXAMETHASONE
NEOFORTAN 40MG;PHLOROGLUCINOL
DIALYSE PERITONEALE BIEFFE FORMULE 55;CONCENTRE POUR DIALYSE PERITONEALE
UN-ALFA 1  G;ALFACALCIDOL
UN-ALFA 1  G;ALFACALCIDOL
PENAMOX;AMOXICILLINE
IMIZINE 10%;METRONIDAZOLE
TRUSOPT;DORZOLAMIDE
ZOLADEX 10.8 MG;GOSERELINE
MEDIVEINE;DIOSMINE
ZANTAC;RANITIDINE
QUIETUDE;SOUCHE HOMEOPATHIQUE
RECOFOL;PROPOFOL
NICOPATCH;NICOTINE
NICOPATCH;NICOTINE
HIBOR 10000 UI ANTI XA;BEMIPARINE
PANFUREX;NIFUROXAZIDE
CEFTRIAXONE MYLAN IV 500 MG/5 ML;CEFTRIAXONE
CARDINOR;CARVEDILOL
CARDINOR;CARVEDILOL
AMUCHIN 10;CHLOROXYDANT / ELECTROLYTIQUE
TAVANIC;LEVOFLOXACINE
DAILY G ;LEVONORGESTREL / ETHINYLESTRADIOL
CIPROFLOXACINE MYLAN 200 MG/100 ML;CIPROFLOXACINE
RHINATHIOL ENFANT ET NOURRISSON;CARBOCYSTEINE
FOLINATE DE CALCIUM AGUETTANT 50 MG;FOLINATE DE CALCIUM
R.O.R / TRIMOVAX;VACCIN R.O.R
SOLIAN 100 MG/ML;AMISULPRIDE
SOLIAN 100 MG/ML;AMISULPRIDE
ZILDAM;PIROXICAM
TAREG;VALSARTAN
GYNO CANESTEN;CLOTRIMAZOLE
HEMOPUR AC1;CONCENTRE POUR HEMODIALYSE
EQUORAL;CICLOSPORINE
ACTIVAROL C100;ACIDE ASCORBIQUE (VITAMINE C) / HEMATOPORPHYRINE
PRAVATOR;PRAVASTATINE
GONAL-F 150 UI;FOLLITROPINE ALFA
A-GRAM;AMOXICILLINE
NASACORT;TRIAMCINOLONE
SOTALEX;SOTALOL
CLIMASTON;ESTRADIOL / DYDROGESTERONE
ACEPRIL;PERINDOPRIL
ACEPRIL;PERINDOPRIL
LORAZEPAM PHARMA;LORAZEPAM
CO-OLMETEC;OLMESARTAN / HYDROCHLOROTHIAZIDE
CO-OLMETEC;OLMESARTAN / HYDROCHLOROTHIAZIDE
IMODIUM;LOPERAMIDE
TETRAXIM;VACCIN D.T.COQ.P
GELUPRANE;PARACETAMOL
LETROZOL GT;LETROZOLE
LETROZOL GT;LETROZOLE
MELIX;GLIBENCLAMIDE
CLAVULIN;AMOXICILLINE / ACIDE CLAVULANIQUE
NOLVADEX;TAMOXIFENE
